origin,destination,year,month,lon_o,lat_o,lon_d,lat_d,flights,passengers
ADELAIDE,BRISBANE,1984,1,138.5306,-34.945,153.1175,-27.3842,32,3781
ADELAIDE,DARWIN,1984,1,138.5306,-34.945,130.8767,-12.4147,33,3050
ADELAIDE,MELBOURNE,1984,1,138.5306,-34.945,144.843,-37.6733,711,50817
ADELAIDE,PERTH,1984,1,138.5306,-34.945,115.9672,-31.9403,144,18670
ADELAIDE,SYDNEY,1984,1,138.5306,-34.945,151.1753,-33.9399,358,37401
BRISBANE,DARWIN,1984,1,153.1175,-27.3842,130.8767,-12.4147,22,2627
BRISBANE,MELBOURNE,1984,1,153.1175,-27.3842,144.843,-37.6733,324,31791
BRISBANE,PERTH,1984,1,153.1175,-27.3842,115.9672,-31.9403,4,566
BRISBANE,SYDNEY,1984,1,153.1175,-27.3842,151.1753,-33.9399,990,95027
DARWIN,SYDNEY,1984,1,130.8767,-12.4147,151.1753,-33.9399,9,779
HOBART,MELBOURNE,1984,1,147.51,-42.8361,144.843,-37.6733,440,35293
MELBOURNE,PERTH,1984,1,144.843,-37.6733,115.9672,-31.9403,295,33753
MELBOURNE,SYDNEY,1984,1,144.843,-37.6733,151.1753,-33.9399,1368,132682
PERTH,SYDNEY,1984,1,115.9672,-31.9403,151.1753,-33.9399,163,22569
ADELAIDE,BRISBANE,1984,2,138.5306,-34.945,153.1175,-27.3842,31,2302
ADELAIDE,DARWIN,1984,2,138.5306,-34.945,130.8767,-12.4147,8,671
ADELAIDE,MELBOURNE,1984,2,138.5306,-34.945,144.843,-37.6733,598,50605
ADELAIDE,PERTH,1984,2,138.5306,-34.945,115.9672,-31.9403,121,14556
ADELAIDE,SYDNEY,1984,2,138.5306,-34.945,151.1753,-33.9399,298,29680
BRISBANE,MELBOURNE,1984,2,153.1175,-27.3842,144.843,-37.6733,222,18053
BRISBANE,PERTH,1984,2,153.1175,-27.3842,115.9672,-31.9403,4,332
BRISBANE,SYDNEY,1984,2,153.1175,-27.3842,151.1753,-33.9399,871,84001
